order_id,order_date,customer,region,product,qty,unit_price,total,status
100001,2026-03-01,Acme Corp,East,Widget Pro,8,"$1,234.50","$9,876.00",Pending
100002,2026-03-02,Initech,East,Gadget X,26,"$2,150.00","$55,900.00",pending
100003,2026-03-03,Globex Incorporated,nyc,Gadget X,8,"$2,150.00","$17,200.00",Pending
100004,2026-03-04,Hooli,East,Widget Lite,24,$89.99,"$2,159.76",pending
100005,2026-03-05,Acme Corp,West,Gadget X,1,"$2,150.00","$2,150.00",shipped
100006,2026-03-06,Acme Corp,nyc,Widget Lite,20,$89.99,"$1,799.80",shipped
100007,2026-03-07,Globex Incorporated,East,Gadget X,1,"$2,150.00","$2,150.00",SHIPPED
100008,Mar 8 2026,Acme Corp,West,Widget Pro,23,"$1,234.50","$28,393.50",SHIPPED
100009,2026-03-09,,New York,Widget Pro,7,"$1,234.50","$8,641.50",shipped
100010,2026-03-10,Globex Incorporated,East,Widget Lite,24,$89.99,"$2,159.76",Pending
100011,13/03/2026,Massive Dynamic,New York,Gadget X,18,"$2,150.00","$38,700.00",Pending
100012,2026-03-12,Acme Corp,New York,Gadget X,30,"$2,150.00","$64,500.00",Pending
100013,2026-03-13,Wayne Enterprises,East,Gizmo Mini,14,$45.00,$630.00,pending
100014,14/03/2026,Stark Industries,East,Gadget X,28,"$2,150.00","$60,200.00",pending
100015,2026-03-15,Globex Incorporated,West,Gadget X,20,"$2,150.00","$43,000.00",SHIPPED
100016,2026-03-16,Umbrella Ltd,West,Gadget X,19,"$2,150.00","$40,850.00",SHIPPED
100017,17/03/2026,Hooli,West,Gizmo Mini,16,$45.00,$720.00,SHIPPED
100018,2026-03-18,Wayne Enterprises,west,Widget Lite,30,$89.99,"$2,699.70",Shipped
100019,2026-03-19,Stark Industries,East,Gadget X,23,"$2,150.00","$49,450.00",pending
100020,2026-03-20,Soylent Co,East,Gadget X,5,"$2,150.00","$10,750.00",Pending
100021,21/03/2026,Stark Industries,NYC,Gadget X,9,"$2,150.00","$19,350.00",Shipped
100022,2026-03-22,Massive Dynamic,west,Widget Lite,19,$89.99,"$1,709.81",SHIPPED
100023,Mar 23 2026,Soylent Co,n-y-c,Gadget X,7,"$2,150.00","$15,050.00",Pending
100024,2026-03-24,Initech,East,Gizmo Mini,20,$45.00,$900.00,pending
